symbol,newshares,oldshares,date,
CRISIL,10,1,2011-09-28,
BHEL,5,1,2011-10-03,
CARBORUNIV,2,1,2011-10-05,
MONSANTO,2,1,2011-10-05,
VIPIND,5,1,2011-10-31,
METKORE,5,1,2011-11-03,
ORIENTABRA,3,1,2011-11-11,
CASTEXTECH,2,1,2011-11-21,
DPSCLTD,10,1,2011-12-15,
PIRPHYTO,21,1,2011-12-23,
MUNJALAU,5,1,2011-12-29,
SYMPHONY,5,1,2012-02-15,
PLASTIBLEN,2,1,2012-02-29,
KPIT,2,1,2012-03-13,
OIL,5,2,2012-03-29,
OPTOCIRCUI,13,10,2012-03-29,
VAKRANGEE,20,1,2012-04-12,
SUNDARAM,3,1,2012-04-13,
INDOCO,15,2,2012-05-17,
AVTNPL,10,1,2012-06-07,
INFOMEDIA,2,1,2012-06-12,
NAUKRI,2,1,2012-06-22,
ZYLOG,2,1,2012-06-29,
HERCULES,2,1,2012-07-11,
GABRIEL,2,1,2012-07-12,
JYOTHYLAB,2,1,2012-07-12,
BPCL,2,1,2012-07-13,
MICROTECH,2,1,2012-07-17,
GRUH,5,1,2012-07-24,
AJANTPHARM,2,1,2012-08-09,
PREMIERPOL,5,1,2012-08-16,
IMPAL,2,1,2012-09-10,
GSFC,5,1,2012-09-20,
AMARAJABAT,2,1,2012-09-25,
MOTHERSUMI,3,2,2012-10-03,
BILPOWER,2,1,2012-10-04,
GOENKA,10,1,2012-10-25,
AMRUTANJAN,5,1,2012-10-25,
BOMDYEING,5,1,2012-10-30,
KANANIIND,5,1,2012-11-01,
BBTC,5,1,2012-11-08,
RUBYMILLS,2,1,2012-11-22,
SHALPAINTS,5,1,2012-11-22,
SUNDARMFIN,2,1,2012-12-13,
AGCNET,2,1,2012-12-19,
VISESHINFO,10,1,2013-01-03,
20MICRONS,2,1,2013-01-28,
MMFIN,5,1,2013-02-15,
RAJRAYON,10,1,2013-03-04,
RASOYPR,15,1,2013-03-21,
ANSALHSG,3,1,2013-04-11,
PIIND,5,1,2013-04-12,
BALMLAWRIE,7,4,2013-05-23,
FRL,3,1,2013-06-21,
EMAMILTD,3,2,2013-06-26,
SUTLEJTEX,3,2,2013-06-27,
PNBGILTS,4,3,2013-07-03,
ADVANTA,5,1,2013-07-05,
GULFPETRO,42,19,2013-07-09,
POLYMED,2,1,2013-07-09,
LT,3,2,2013-07-11,
SHILPAMED,3,2,2013-07-16,
TORNTPHARM,2,1,2013-07-23,
HERITGFOOD,2,1,2013-07-26,
SUNPHARMA,2,1,2013-07-29,
ASIANPAINT,10,1,2013-07-30,
APCOTEXIND,2,1,2013-08-14,
CCL,10,1,2013-08-19,
DIAPOWER,4,3,2013-08-26,
ASTRAL,5,2,2013-09-05,
CONCOR,3,2,2013-09-06,
AJANTPHARM,3,2,2013-09-17,
MAYURUNIQ,2,1,2013-09-25,
AVTNPL,2,1,2013-09-26,
ALEMBICLTD,2,1,2013-09-27,
PRECOT,3,2,2013-10-03,
FEDERALBNK,5,1,2013-10-17,
ASHIANA,5,1,2013-10-24,
AROGRANITE,3,2,2013-10-31,
OMAXE,49,39,2013-11-11,
RELAXO,5,1,2013-11-22,
MOTHERSUMI,3,2,2013-12-20,
IVC,3,2,2013-12-26,
KSCL,5,1,2014-01-27,
SWANENERGY,2,1,2014-02-03,
SHARONBIO,10,1,2014-02-20,
RSYSTEMS,10,1,2014-02-26,
RAJTV,4,1,2014-03-25,
VIKASECO,10,1,2014-03-27,
KOTHARIPRO,3,1,2014-03-28,
MAYURUNIQ,2,1,2014-03-28,
RAIREKMOH,3,1,2014-04-15,
MINDTREE,2,1,2014-06-03,
GRUH,2,1,2014-06-09,
DEEPAKNTR,10,1,2014-06-20,
LGBBROSLTD,2,1,2014-07-04,
SHRENUJ,2,1,2014-07-15,
AXISBANK,5,1,2014-07-28,
JMTAUTOLTD,7,2,2014-07-30,
HAVELLS,5,1,2014-08-26,
JKBANK,10,1,2014-09-04,
ALKYLAMINE,2,1,2014-09-08,
ATULAUTO,2,1,2014-09-12,
PANAMAPET,5,1,2014-09-19,
LAOPALA,5,1,2014-09-24,
ASTRAL,2,1,2014-09-25,
SUDARSCHEM,10,1,2014-09-30,
JBMA,4,1,2014-10-08,
SHIVAMAUTO,5,1,2014-10-30,
NITINFIRE,4,3,2014-11-13,
VIKASECO,5,2,2014-11-13,
SBIN,10,1,2014-11-20,
SURANATP,5,1,2014-11-25,
GODFRYPHLP,5,1,2014-11-28,
INFY,2,1,2014-12-02,
ICICIBANK,5,1,2014-12-04,
JKTYRE,5,1,2014-12-18,
PNB,5,1,2014-12-18,
BERGEPAINT,2,1,2015-01-08,
RSSOFTWARE,2,1,2015-01-21,
BANKBARODA,5,1,2015-01-22,
CORPBANK,5,1,2015-01-22,
TATACOFFEE,10,1,2015-01-23,
POLYMED,2,1,2015-02-02,
HIKAL,5,1,2015-02-27,
HCLTECH,2,1,2015-03-19,
TECHM,4,1,2015-03-19,
AJANTPHARM,5,2,2015-03-20,
GRANULES,10,1,2015-03-23,
AARTIDRUGS,2,1,2015-03-24,
KANSAINER,10,1,2015-03-26,
KSERASERA,10,1,2015-03-30,
MENONBE,5,1,2015-04-09,
INSECTICID,3,2,2015-04-16,
PITTILAM,2,1,2015-04-16,
TWL,5,1,2015-04-23,
VIVIDHA,11,1,2015-05-28,
INFY,2,1,2015-06-15,
CMAHENDRA,2,1,2015-06-18,
JMTAUTOLTD,5,1,2015-06-25,
SRSLTD,2,1,2015-06-25,
RELAXO,2,1,2015-07-01,
FEDERALBNK,2,1,2015-07-08,
KOTAKBANK,2,1,2015-07-08,
MAITHANALL,2,1,2015-07-15,
AUROPHARMA,2,1,2015-07-20,
MOTHERSUMI,3,2,2015-07-23,
SIGNET,10,1,2015-08-17,
ITDCEM,10,1,2015-08-21,
DHFL,2,1,2015-09-09,
BEL,3,1,2015-09-14,
AEGISCHEM,10,1,2015-09-16,
COLPAL,2,1,2015-09-23,
DIVISLAB,2,1,2015-09-23,
ALANKIT,5,1,2015-09-23,
APCOTEXIND,2,1,2015-09-23,
IDFC,2,1,2015-10-01,
CADILAHC,5,1,2015-10-06,
BATAINDIA,2,1,2015-10-07,
SHIVAMAUTO,2,1,2015-10-08,
RUBYMILLS,2,1,2015-10-21,
SARLAPOLY,10,1,2015-10-29,
SHILPAMED,2,1,2015-11-06,
NATCOPHARM,5,1,2015-11-26,
AVANTIFEED,5,1,2015-11-26,
JAMNAAUTO,2,1,2015-12-03,
JKIL,2,1,2015-12-10,
ECLERX,4,3,2015-12-17,
SMSPHARMA,10,1,2015-12-17,
VENKEYS,3,2,2015-12-21,
MARICO,2,1,2015-12-22,
ALLCARGO,2,1,2015-12-30,
KOTHARIPRO,3,2,2016-01-05,
GREENPLY,5,1,2016-01-06,
MOLDTKPAC,2,1,2016-02-17,
PRAKASHSTL,10,1,2016-03-03,
MINDTREE,2,1,2016-03-09,
RAMASTEEL,10,1,2016-03-14,
CROMPGREAV,293,100,2016-03-15,
TIDEWATER,4,1,2016-03-16,Demerger (155.3/53)
WELSPUNIND,10,1,2016-03-21,
PRECWIRE,2,1,2016-03-21,
SABTN,1,1,2016-03-22,Scheme of Demerger
VIVIDHA,4,3,2016-03-30,
VIVIMEDLAB,5,1,2016-04-06,
DISHMAN,2,1,2016-05-02,
GMBREW,5,4,2016-05-30,
PINCON,2,1,2016-06-23,
ITC,3,2,2016-07-01,
BPCL,2,1,2016-07-13,
GRINDWELL,2,1,2016-07-14,
BERGEPAINT,7,5,2016-07-15,
NBCC,5,1,2016-06-02,
LUXIND,5,1,2016-06-06,
WABAG,2,1,2015-03-26,
