symbol,newshares,oldshares,date,
MIRCELECTR,2,1,2003-08-13,
IOC,3,2,2003-08-14,
ASIANPAINT,3,2,2003-08-22,
OFSS,2,1,2003-09-05,
HIKAL,3,2,2003-09-29,
GLENMARK,5,1,2003-10-27,
AUROPHARMA,2,1,2003-10-27,
RAMCOCEM,10,1,2003-11-07,
MOSERBAER,2,1,2003-11-27,
MIRCELECTR,10,1,2003-12-15,
TVSMOTOR,10,1,2003-12-18,
JINDALSTEL,2,1,2003-12-19,
HAVELLS,2,1,2003-12-31,
GUJALKALI,3,2,2004-01-08,
SUVEN,5,1,2004-01-16,
KABRAEXTRU,2,1,2004-01-19,
AFTEK,5,1,2004-01-21,
SUNDRMFAST,10,1,2004-01-23,
HSIL,2,1,2004-02-09,
SOUNDCRAFT,3,1,2004-02-23,
JSL,5,1,2004-03-01,
JUBILANT,8,5,2004-03-12,
MOTHERSUMI,5,1,2004-03-16,
UNICHEMLAB,4,1,2004-03-17,
BERGEPAINT,3,2,2004-03-24,
ALEMBICLTD,3,1,2004-03-25,
RADAAN,5,1,2004-04-08,
GUJNRECOKE,3,2,2004-04-20,
BAJAJHIND,10,1,2004-04-29,
FDC,2,1,2004-04-29,
WOCKPHARMA,3,1,2004-04-29,
MARICO,2,1,2004-05-06,
CIPLA,5,1,2004-05-12,
MPHASIS,2,1,2004-05-26,
SUNPHARMA,2,1,2004-05-27,
BSELINFRA,9,4,2004-06-09,
WIPRO,3,1,2004-06-25,
ASHOKLEY,10,1,2004-06-29,
INFY,4,1,2004-07-01,
PRICOL,15,1,2004-07-08,
PGHH,3,2,2004-07-09,
JAGSNPHARM,8,1,2004-07-21,
SHANTIGEAR,20,1,2004-07-27,
ADANIENT,10,1,2004-07-29,
GEOMETRIC,2,1,2004-08-02,
NUCLEUS,2,1,2004-08-06,
TATASTEEL,3,2,2004-08-11,
KANSAINER,5,3,2004-08-13,
CARBORUNIV,5,1,2004-08-17,
INDIANHUME,10,1,2004-08-23,
BERGEPAINT,5,1,2004-08-25,
KOTAKBANK,2,1,2004-08-25,
SONASTEER,5,1,2004-08-25,
TUBEINVEST,2,1,2004-08-31,
AMTEKAUTO,5,1,2004-10-05,
OPTOCIRCUI,13,10,2004-10-20,
ZANDUREALT,3,2,2004-10-21,
UCALFUEL,2,1,2004-10-25,
SPMLINFRA,5,1,2004-11-19,
FEDERALBNK,3,1,2004-11-29,
PEL,5,1,2004-12-27,
HSIL,5,3,2005-01-05,
AFTEK,3,2,2005-01-27,
IPCALAB,2,1,2005-01-28,
GUJNRECOKE,2,1,2005-02-09,
AARTIIND,3,1,2005-02-09,
VEDL,2,1,2005-02-16,
GEODESIC,10,1,2005-02-18,
BHAGYNAGAR,5,1,2005-02-24,
MOTHERSUMI,3,2,2005-02-24,
VISHALEXPO,5,1,2005-02-25,
KPIT,2,1,2005-03-03,
GLENMARK,2,1,2005-03-04,
RICOAUTO,10,1,2005-03-11,
LCCINFOTEC,5,1,2005-03-14,
GAMMONIND,5,1,2005-03-15,
HITECHGEAR,2,1,2005-03-16,
STERLINBIO,2,1,2005-03-18,
BEPL,10,1,2005-03-21,
BALRAMCHIN,10,1,2005-03-23,
JBCHEPHARM,5,1,2005-04-05,
RUCHINFRA,40,1,2005-04-21,
HEXAWARE,5,1,2005-04-28,
INDSWFTLTD,5,1,2005-04-29,
ABAN,5,1,2005-05-04,
EIDPARRY,5,1,2005-05-27,
GREENPLY,2,1,2005-06-16,
AMBUJACEM,15,2,2005-06-20,
CARBORUNIV,2,1,2005-06-23,
HCLINSYS,5,1,2005-07-08,
SUBROS,2,1,2005-07-13,
BHARATFORG,5,1,2005-07-20,
RANBAXY,2,1,2005-07-25,
GEOMETRIC,5,1,2005-08-02,
OCL,5,1,2005-08-02,
HAVELLS,2,1,2005-08-04,
SWARAJENG,3,1,2005-08-12,
OPTOCIRCUI,3,2,2005-08-16,
PRAJIND,10,1,2005-08-17,
SHASUNPHAR,5,1,2005-08-19,
TATAINVEST,3,2,2005-08-22,
WIPRO,2,1,2005-08-22,
NBVENTURES,5,1,2005-08-24,
NCC,5,1,2005-08-24,
KOTAKBANK,5,2,2005-08-25,
VISHALEXPO,3,1,2005-08-25,
INDIANHUME,5,3,2005-08-29,
HINDALCO,10,1,2005-08-30,
MM,2,1,2005-09-01,
ASAHIINDIA,2,1,2005-09-01,
CASTEXTECH,5,1,2005-09-08,
RAJESHEXPO,5,1,2005-09-09,
ORCHIDPHAR,3,2,2005-09-15,
VTL,3,2,2005-09-15,
DCW,5,1,2005-09-20,
PIDILITIND,10,1,2005-09-20,
ITC,15,1,2005-09-21,
METALFORGE,3,1,2005-09-22,
JAYBARMARU,2,1,2005-09-23,
SAMBHAAV,10,1,2005-09-23,
SHRENUJ,5,1,2005-09-23,
UPL,5,1,2005-09-27,
BLISSGVS,7,5,2005-09-28,
DCMSHRIRAM,10,1,2005-10-07,
ASTRAMICRO,10,1,2005-10-07,
GUJFLUORO,5,1,2005-10-10,
SINTEX,5,1,2005-10-10,
SURYALAXMI,2,1,2005-10-10,
TAJGVK,5,1,2005-10-10,
LIBERTSHOE,2,1,2005-10-13,
HIMATSEIDE,4,1,2005-10-14,
KAJARIACER,5,1,2005-10-19,
GULFPETRO,8,5,2005-10-20,
DISHMAN,5,1,2005-10-21,
ZODIACLOTH,2,1,2005-10-24,
PARASPETRO,10,1,2005-10-26,
DALMIASUG,5,1,2005-10-27,
HELIOSMATH,2,1,2005-10-27,
CRANESSOFT,10,1,2005-11-02,
HCC,10,1,2005-11-08,
MPHASIS,2,1,2005-11-11,
GABRIEL,10,1,2005-12-30,
HSIL,5,2,2005-12-30,
COROMANDEL,5,1,2006-01-02,
SUBEX,2,1,2006-01-05,
GAEL,5,1,2006-01-06,
RADICO,5,1,2006-01-06,
ANTGRAPHIC,10,1,2006-01-06,
AARTIIND,2,1,2006-01-13,
DABUR,2,1,2006-01-19,
BALKRISIND,3,1,2006-01-27,
KLGSYSTEL,2,1,2006-01-27,
ANSALAPI,3,2,2006-01-27,
MERCATOR,5,2,2006-02-02,
STERTOOLS,2,1,2006-02-02,
SHAHALLOYS,2,1,2006-02-13,
TORNTPHARM,4,1,2006-02-20,
VIMTALABS,5,1,2006-02-24,
KCPSUGIND,10,1,2006-03-08,
JUBILANT,5,1,2006-03-17,
ASHAPURMIN,5,1,2006-03-23,
MASTEK,2,1,2006-03-27,
IVRCLINFRA,5,1,2006-03-29,
THERMAX,5,1,2006-03-31,
JAYAGROGN,2,1,2006-04-13,
KALPATPOWR,2,1,2006-04-13,
MAHSEAMLES,2,1,2006-04-18,
CIPLA,5,2,2006-04-24,
ANSALAPI,2,1,2006-05-10,
HINDDORROL,5,1,2006-05-26,
TUBEINVEST,5,1,2006-05-31,
ESSELPACK,5,1,2006-06-08,
SIEMENS,5,1,2006-06-13,
ASTRAZEN,5,1,2006-06-15,
IVC,3,2,2006-06-23,
UNITECH,65,1,2006-06-23,
INFY,2,1,2006-07-13,
KARURVYSYA,2,1,2006-07-19,
HAVELLS,2,1,2006-07-20,
CYIENT,3,1,2006-07-28,
JYOTISTRUC,5,1,2006-07-28,
TCS,2,1,2006-07-28,
WENDT,2,1,2006-08-07,
CROMPGREAV,5,1,2006-08-10,
LUPIN,2,1,2006-08-11,
GODREJCP,4,1,2006-08-24,
GODREJIND,6,1,2006-08-25,
DRREDDY,2,1,2006-08-28,
CADILAHC,2,1,2006-08-30,
SUPERSPIN,10,1,2006-09-01,
BHAGYNAGAR,2,1,2006-09-07,
EXIDEIND,10,1,2006-09-08,
HOTELEELA,5,1,2006-09-08,
EIHOTEL,15,2,2006-09-12,
SIMPLEXINF,5,1,2006-09-13,
SONASTEER,2,1,2006-09-14,
BLUESTARCO,5,1,2006-09-20,
NCC,2,1,2006-09-20,
VOLTAS,10,1,2006-09-22,
ALPSINDUS,2,1,2006-09-22,
JAYBARMARU,2,1,2006-09-25,
GEOJITBNPP,10,1,2006-09-26,
ALEMBICLTD,5,1,2006-09-26,
NAVNETEDUL,5,1,2006-09-27,
GUJNRECOKE,2,1,2006-09-28,
LT,2,1,2006-09-28,
ASSAMCO,10,1,2006-09-29,
SATYAMCOMP,2,1,2006-10-09,
BERGEPAINT,8,5,2006-10-12,
MUNJALSHOW,5,1,2006-10-16,
ELECON,5,1,2006-10-17,
INDHOTEL,10,1,2006-10-27,
ONGC,3,2,2006-10-27,
OPTOCIRCUI,2,1,2006-10-30,
SUPREMEIND,2,1,2006-11-13,
LAKSHVILAS,3,2,2006-11-17,
BBL,10,1,2006-11-21,
ALICON,2,1,2006-12-04,
TCI,5,1,2006-12-05,
SANWARIA,5,2,2006-12-08,
GRAPHITE,5,1,2006-12-11,
FRL,5,1,2006-12-12,
LAXMIMACH,10,1,2006-12-13,
CROMPGREAV,7,5,2006-12-14,
MMFL,2,1,2006-12-20,
KEI,5,1,2006-12-21,
CREST,3,2,2006-12-27,
HTMEDIA,5,1,2006-12-28,
KPIT,5,1,2007-01-04,
SUNDRMFAST,2,1,2007-01-04,
FINCABLES,5,1,2007-01-08,
DOLPHINOFF,8,5,2007-01-11,
APARINDS,4,3,2007-01-11,
SOTL,5,3,2007-01-17,
ZANDUREALT,4,3,2007-01-18,
DABUR,3,2,2007-01-25,
PARACABLES,5,1,2007-01-25,
SIYSIL,3,2,2007-01-29,
GOKEX,2,1,2007-02-08,
MARICO,10,1,2007-02-21,
ATLANTA,5,1,2007-02-26,
GANESHHOUC,3,1,2007-03-02,
PUNJABCHEM,2,1,2007-03-08,
MAX,5,1,2007-03-12,
DCHL,5,1,2007-03-13,
HCLTECH,2,1,2007-03-15,
SUVEN,4,1,2007-03-23,
NRBBEARING,5,1,2007-03-26,
PUNJLLOYD,5,1,2007-03-29,
ANSALAPI,2,1,2007-04-23,
MIRZAINT,5,1,2007-04-24,
THOMASCOOK,10,1,2007-05-14,
PAPERPROD,5,1,2007-05-25,
BHEL,2,1,2007-05-31,
GUJAPOLLO,3,1,2007-06-04,
ABB,5,1,2007-06-28,
GEMINI,2,1,2007-07-17,
MOSERBAER,3,2,2007-07-17,
KSOILS,10,1,2007-07-18,
PRAJIND,2,1,2007-07-18,
SUNTV,4,1,2007-07-23,
EASUNREYRL,5,1,2007-07-31,
DIVISLAB,5,1,2007-08-03,
NUCLEUS,2,1,2007-08-03,
GEODESIC,3,2,2007-08-17,
APOLLOTYRE,10,1,2007-08-17,
EKC,5,1,2007-08-21,
SANGHVIMOV,5,1,2007-08-23,
NIITLTD,15,2,2007-08-24,
3IINFOTECH,2,1,2007-08-27,
HIRECT,5,1,2007-08-28,
USHAMART,5,1,2007-08-29,
BANCOINDIA,2,1,2007-08-30,
MOTHERSUMI,3,2,2007-08-30,
NIITTECH,3,2,2007-08-30,
UNITECH,2,1,2007-08-30,
GLENMARK,2,1,2007-09-10,
ELECTCAST,10,1,2007-09-17,
AMARAJABAT,5,1,2007-09-19,
GMRINFRA,5,1,2007-09-28,
VALECHAENG,3,2,2007-10-04,
JAICORPLTD,20,1,2007-10-05,
ANANTRAJ,5,1,2007-10-08,
MANINDS,2,1,2007-10-09,
ELECON,3,1,2007-10-10,
PENINLAND,5,1,2007-10-16,
ASHAPURMIN,2,1,2007-10-18,
BLKASHYAP,2,1,2007-10-22,
ADVANIHOTR,5,1,2007-10-22,
ASIANELEC,2,1,2007-10-22,
ICSA,5,1,2007-10-23,
JBMA,3,2,2007-10-24,
OPTOCIRCUI,3,2,2007-10-25,
WSTCSTPAPR,5,1,2007-10-26,
RUCHISOYA,5,1,2007-10-29,
GMDCLTD,5,1,2007-11-08,
SUBROS,5,1,2007-11-20,
BANCOINDIA,5,1,2007-11-23,
JPASSOCIAT,5,1,2007-12-17,
KANORICHEM,3,1,2007-12-31,
JAGRAN,5,1,2008-01-09,
CLASSIC,5,1,2008-01-11,
DELTACORP,10,1,2008-01-15,
JINDALSTEL,5,1,2008-01-21,
SUZLON,5,1,2008-01-21,
CINEVISTA,5,1,2008-01-22,
CUB,10,1,2008-01-23,
ROLTA,2,1,2008-01-24,
RAJESHEXPO,6,1,2008-01-29,
GUJFLUORO,2,1,2008-02-01,
ORIENTPPR,10,1,2008-02-01,
SANWARIA,2,1,2008-02-04,
GVKPIL,10,1,2008-02-08,
PHOENIXLTD,5,1,2008-02-13,
TV18BRDCST,5,1,2008-02-21,
PTL,5,1,2008-02-25,
WALCHANNAG,10,1,2008-02-25,
SIEMENS,2,1,2008-02-29,
MARKSANS,10,1,2008-03-11,
PDUMJEIND,5,1,2008-03-11,
ACE,5,1,2008-03-13,
EMCO,5,1,2008-03-14,
GANDHITUBE,2,1,2008-03-17,
STCINDIA,2,1,2008-03-19,
KGL,10,1,2008-04-04,
NMDC,10,1,2008-04-10,
RENUKA,10,1,2008-04-10,
