 SM_NEW_SYMBOL, SM_KEY_SYMBOL, SM_APPLICABLE_FROM
BBL,BARATBIJLE,2006-11-21
AFTEK,AFTEKINFO,2006-11-27
SIGROUPIND,SCHENHERD,2006-11-28
BLUECOAST,MOREPENHTL,2006-12-05
RPGLS,SEARLEIND,2006-12-05
RPGTLTD,SAELTD,2006-12-05
MMFL,MMFORGINGS,2006-12-20
SPENTEX,SPENTXIND,2006-12-20
BANCOINDIA,BANCOPROD,2006-12-22
MPHASIS,MPHASISBFL,2006-12-26
SHARRESLTD,SHARYANRES,2006-12-27
SATHAISPAT,SATHVANISP,2006-12-27
KESARENT,KESARENTER,2007-01-02
NILKAMAL,NILKAMPLST,2007-01-05
IGPL,IGPETRO,2007-01-29
SAGCEM,SAGARCEM,2007-01-29
SIYSIL,SIYARSILK,2007-01-29
TIMKEN,TATATIMKEN,2007-02-06
TVSSRICHAK,SRICHAKTYR,2007-02-13
ZEEL,ZEETELE,2007-02-28
GANESHHOUC,GANHSGFIN,2007-03-02
HCIL,HIMADCHEM,2007-03-02
SOMANYCERA,SPLLTD,2007-03-21
ASTRAZEN,ASTRAIDL,2007-04-10
MALCO,MADRASALMN,2007-04-12
UFLEX,FLEX,2007-04-17
ENTEGRA,INDUJENERT,2007-04-25
CHETTINAD,CHETNADCEM,2007-05-17
GUJAPOLIND,GUJAPOLEQP,2007-06-04
BIRLAPOWER,BIRLAYAMAH,2007-06-06
SILINV,SUTLEJINDS,2007-06-21
ADVANIHOTR,RAMADHOTEL,2007-06-25
GUJAPOLLO,GUJAPOLIND,2007-07-06
HINDUNILVR,HINDLEVER,2007-07-19
AMBUJACEM,GUJAMBCEM,2007-07-24
WSI,WSIND,2007-08-01
DECCANCE,DECCANCEM,2007-08-02
JAIBALAJI,BALASPONGE,2007-08-10
AXISBANK,UTIBANK,2007-08-16
DENORA,TITANOCOMP,2007-08-20
HINDALCO,HINDALC0,2007-08-27
LANCOIN,LANCOIND,2007-08-28
NAHARINVST,NAHAREXPOT,2007-11-01
MERCK,EMERCK,2007-11-05
GULFOILCOR,IDLCHEM,2007-11-08
GLODYNE,PARADYNE,2007-11-19
MAHLIFE,GESCOCORP,2007-11-23
HINDUJAVEN,HINDUJATMT,2007-11-29
STRTECH,STROPTICAL,2007-12-17
GENUSPOWER,GENUSOVERE,2008-01-14
SUPREMETEX,SUPREMYARN,2008-02-15
IOLN,IOLB,2008-02-18
JAYNECOIND,NAGPURENG,2008-02-22
HORIZONINF,HORIZONBAT,2008-02-22
AMDIND,AMDMET,2008-02-25
ERAINFRA,ERACONS,2008-02-25
FAME,SHRINGAR,2008-02-25
TATACOMM,VSNL,2008-02-25
BOSCHLTD,MICO,2008-02-28
GOLDINFRA,GOLDTELE,2008-02-29
RAINCOM,PRIYADCEM,2008-03-03
SHALPAINTS,SHALMPAINT,2008-03-03
BAJAJHLDNG,BAJAJAUTO,2008-03-14
BRABOURNE,RPGLS,2008-03-14
HINDUJAFO,ENNOREFO,2008-03-24
PDUMJEIND,PDUMJEAGRO,2008-03-28
EIHAHOTELS,OBERHOTEL,2008-04-08
SUMMIT,KECINFRA,2008-04-21
DIGJAM,BVXL,2008-04-28
PIRGLASS,GUJGLASS,2008-05-12
IBN18,GBN,2008-05-15
RELINFRA,REL,2008-05-16
ANIKINDS,MPGLYCEM,2008-05-21
VALUEIND,VDOCONAPPL,2008-05-22
IBRETAILS,PIRAMYDRET,2008-06-09
PIRHEALTH,NICOLASPIR,2008-06-19
PVP,SOFTSOLINT,2008-06-23
ABHISHEK,AML,2008-06-26
AREVA,GECALSTHOM,2008-06-30
ARVIND,ARVINDMILL,2008-07-07
AREVAT&D,AREVA,2008-07-14
INEABS,LANABS,2008-07-21
BIRLACORPN,BIRLAJUTE,2008-07-28
OFSS,I-FLEX,2008-09-18
GOLDENTOBC,GTCIND,2008-09-29
GEODESIC,GEOINFO,2008-10-06
KFA,AIRDECCAN,2008-10-06
INDBANK,INDBANKMER,2008-10-08
KALSTEELS,KALYANISTL,2008-10-21
JSL,JSTAINLESS,2008-10-23
KGL,KNL,2008-11-20
DELTACORP,ARROWGROUP,2008-12-11
DELTAMAGNT,GPELECT,2008-12-15
ELGIRUBBER,ELGITYRE,2008-12-22
HGSL,HTMTGLOBAL,2009-01-23
FKONCO,DABURPHARM,2009-02-19
MVLIND,MEDIA,2009-02-20
ABCIL,BCCL,2009-03-09
HALONIX,PHOENIXLMP,2009-03-09
SOLARINDS,SOLAREX,2009-04-13
DATAMATICS,DATATECH,2009-04-20
HSIL,HINDSANIT,2009-04-27
INSECTICID,IILTD,2009-05-11
HEIDELBERG,MYSORECEM,2009-05-15
GEOJITBNPP,GEOJIT,2009-06-05
AJMERA,SHREE,2009-06-23
ACKRUTI,AKRUTI,2009-06-30
XLTELENE,XLTL,2009-07-22
SMARTLINK,D-LINK,2009-07-29
SOTL,SAVITACHEM,2009-08-24
HINVDIR,INVSTSMART,2009-09-07
BIRLAMONEY,APOLLOSIND,2009-09-09
MPSLTD,MACMILLAN,2009-09-11
COROMANDEL,COROMNFERT,2009-10-12
RELMEDIA,ADLABSFILM,2009-10-20
STOREONE,IBRETAILS,2009-10-26
AUSOMENT,COREEMBLG,2009-12-01
ORIENTALTL,OTL,2009-12-17
GSLNOVA,NOVA,2009-12-18
UMESL,UMITL,2010-01-07
JPPOWER,JPHYDRO,2010-01-08
SURANAT&P,SURANATELE,2010-02-08
GEECEE,GWALCHEM,2010-03-05
KECL,KIRELECTRI,2010-03-09
ZANDUREALT,ZANDUPHARM,2010-03-10
IVRCLAH,IVRPRIME,2010-04-13
IL&FSTRANS,ILFSTRANS,2010-04-16
ANSALAPI,ANSALINFRA,2010-05-14
SPMLINFRA,SUBHASPROJ,2010-05-14
WELCORP,WELGUJ,2010-05-17
AKZOINDIA,ICI,2010-05-27
CRONIMET,GMRFER,2010-06-02
AGCNET,AVAYAGCL,2010-06-08
ANGIND,ANGAUTO,2010-06-16
CHOLAFIN,CHOLADBS,2010-06-22
SEZALGLASS,SEJALGLASS,2010-07-14
SREINFRA,SREINTFIN,2010-07-21
TATAGLOBAL,TATATEA,2010-07-21
CORALHUB,VITLINFO,2010-07-26
DPTL,DTIL,2010-07-26
RBN,RMEDIA,2010-08-20
BAJFINANCE,BAJAUTOFIN,2010-09-29
DALMIASUG,DALMIACEM,2010-09-30
CURATECH,SOFTPRO,2010-11-23
PARRYSUGAR,GMRINDS,2010-12-02
OBEROIRLTY,OBEROIREAL,2010-12-10
XLENERGY,XLTELENE,2010-12-13
WABAG,VATECH,2010-12-15
WELPROJ,MSKPROJ,2011-01-04
SMLISUZU,SWARAJMAZD,2011-01-17
SHASUNPHAR,SHASUNCHEM,2011-01-28
IL&FSENGG,MAYTASINFR,2011-02-08
NET4,NET4INDIA,2011-02-28
ALICON,ENKEI,2011-03-04
KSERASERA,KSERAPRO,2011-03-07
NCC,NAGARCONST,2011-03-15
MAANALU,MANALU,2011-03-16
KIRIINDUS,KIRIDYES,2011-03-28
VTXIND,VIJAYTEX,2011-04-04
TRIDENT,ABSHEKINDS,2011-05-03
GLOBOFFS,GARWOFFS,2011-06-07
NAHARPOLY,NAHARINVST,2011-06-15
NEXTMEDIA,MID-DAY,2011-06-15
INFY,INFOSYSTCH,2011-06-29
TV18BRDCST,IBN18,2011-07-19
SMOBILITY,SPICEMOBIL,2011-07-26
HEROMOTOCO,HEROHONDA,2011-08-08
JSWISPAT,ISPATIND,2011-08-16
EONELECT,INDOASIFU,2011-08-18
GSS,GSSAMERICA,2011-08-24
WABCOINDIA,WABCO-TVS,2011-09-06
COREEDUTEC,COREPROTEC,2011-09-07
PIPAVAVDOC,PIPAVAVYD,2011-09-29
STEL,SENTINEL,2011-11-08
HUBTOWN,ACKRUTI,2011-11-15
CAREERP,CPIL,2011-11-16
HGS,HGSL,2011-11-30
MERCATOR,MLL,2011-12-08
ADANIPORTS,MUNDRAPORT,2012-01-17
KOKUYOCMLN,CAMLIN,2012-02-14
V2RETAIL,VISHALRET,2012-02-24
FMNL,AGRE,2012-03-06
ALSTOMT&D,AREVAT&D,2012-03-12
TEXINFRA,TEXMACOLTD,2012-03-20
